filename,class,subject_id,image_id,gender,glasses,eye_state,reflections,lighting,sensor,width,height,bytes,sha256,source_relpath
s0031_00366_1_0_1_0_1_02.png,alert,s0031,00366,1,0,1,0,1,02,128,128,4633,b738cfb236d4601df040b3755c2788f8a70ed548a40d8663c56af557c55344e0,data/raw/mrlEyes_2018_01/s0031/s0031_00366_1_0_1_0_1_02.png
s0013_03365_0_0_1_0_0_01.png,alert,s0013,03365,0,0,1,0,0,01,91,91,3057,e5de35c79f993ece06ff741ae63a55b76f81f335290b5ad5ed49906ffb5b6605,data/raw/mrlEyes_2018_01/s0013/s0013_03365_0_0_1_0_0_01.png
s0032_02096_0_1_1_2_1_02.png,alert,s0032,02096,0,1,1,2,1,02,108,108,6415,714ac166f976e5127bd6a1169d9e2fabf65575771362bad04356bc4ef0f256e5,data/raw/mrlEyes_2018_01/s0032/s0032_02096_0_1_1_2_1_02.png
s0001_03185_0_1_1_2_0_01.png,alert,s0001,03185,0,1,1,2,0,01,91,91,3535,64508fa803c62083af9bbf259a91212e92dd5f7c310c6dba8e85e8416ccd7dba,data/raw/mrlEyes_2018_01/s0001/s0001_03185_0_1_1_2_0_01.png
s0014_08297_0_0_1_1_0_02.png,alert,s0014,08297,0,0,1,1,0,02,130,130,9764,08c269996d0a103882c30410004fb005888584081fcd78c620ff2adbc8b30a4e,data/raw/mrlEyes_2018_01/s0014/s0014_08297_0_0_1_1_0_02.png
s0021_00952_0_1_1_1_0_01.png,alert,s0021,00952,0,1,1,1,0,01,85,85,3023,a2f2335f4bf2c8aaf27df4bb00e9dbc35547c90306a009f17b2ec92715f4526c,data/raw/mrlEyes_2018_01/s0021/s0021_00952_0_1_1_1_0_01.png
s0022_00225_0_0_1_0_1_01.png,alert,s0022,00225,0,0,1,0,1,01,76,76,2123,7dc1016e85b970c62826caa44045021ff3eb72292faa68b384ce80b081a53f24,data/raw/mrlEyes_2018_01/s0022/s0022_00225_0_0_1_0_1_01.png
s0037_09418_1_1_1_0_0_01.png,alert,s0037,09418,1,1,1,0,0,01,70,70,2073,fa0e8b992e749dccaa03947189b656925d7f9775848f94f816e6125d3652c2de,data/raw/mrlEyes_2018_01/s0037/s0037_09418_1_1_1_0_0_01.png
s0033_00191_0_0_1_0_1_01.png,alert,s0033,00191,0,0,1,0,1,01,67,67,1570,4c19623f1fef9fe4599cac6db9bbe2a6247409bce4d64f2585222f3f5ea9e699,data/raw/mrlEyes_2018_01/s0033/s0033_00191_0_0_1_0_1_01.png
s0026_00972_0_0_1_0_0_01.png,alert,s0026,00972,0,0,1,0,0,01,63,63,1528,740886eb7ca9d6beb1ec9c2be4d0f9922b4ef8e95f60ee708a374a00816ab252,data/raw/mrlEyes_2018_01/s0026/s0026_00972_0_0_1_0_0_01.png
