filename,split,eye_state,seg_otsu_threshold,seg_dark_area_frac,seg_is_degenerate,morph_n_components,morph_dark_area_ratio,morph_largest_area,morph_largest_area_ratio,morph_filled_area,morph_filled_area_ratio,morph_centroid_row_norm,morph_centroid_col_norm,morph_eccentricity,morph_solidity,morph_extent,morph_bbox_aspect_ratio,morph_vertical_extent_norm,morph_is_degenerate
s0025_00055_0_0_0_0_0_01.png,train,0,155.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s0029_00003_0_0_0_0_1_01.png,train,0,168.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s0023_00251_0_0_1_0_1_01.png,train,1,184.0,0.01220703125,0,1.0,0.010498046875,43.0,0.010498046875,43.0,0.010498046875,0.5679505813953488,0.4836482558139535,0.8279934531428,0.9148936170212766,0.6515151515151515,1.8333333333333333,0.09375,0.0
s0002_01036_0_0_1_0_0_01.png,train,1,139.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s0022_00099_0_1_0_2_1_01.png,train,0,170.0,0.010986328125,0,1.0,0.01025390625,42.0,0.01025390625,42.0,0.01025390625,0.42299107142857145,0.9706101190476191,0.9830529926625541,0.84,0.6176470588235294,0.23529411764705882,0.265625,0.0
s0022_00090_0_1_0_2_1_01.png,train,0,176.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s0024_00188_0_1_0_0_0_01.png,train,0,136.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s0016_01619_1_0_0_0_1_01.png,test,0,198.0,0.0234375,0,1.0,0.0205078125,84.0,0.0205078125,84.0,0.0205078125,0.6456473214285714,0.4453125,0.9555184632941299,0.8484848484848485,0.7,3.3333333333333335,0.09375,0.0
s0037_09611_1_1_1_0_0_01.png,train,1,133.0,0.08056640625,0,1.0,0.073486328125,301.0,0.073486328125,301.0,0.073486328125,0.3941549003322259,0.5873131229235881,0.9481351481838962,0.6257796257796258,0.44005847953216376,2.111111111111111,0.28125,0.0
s0031_00264_1_0_1_1_1_02.png,train,1,163.0,0.015869140625,0,1.0,0.015869140625,65.0,0.015869140625,65.0,0.015869140625,0.5677884615384615,0.4997596153846154,0.5552406037856454,0.9558823529411765,0.7222222222222222,0.9,0.15625,0.0
s0031_00048_1_0_0_0_1_02.png,train,0,174.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s0004_00203_0_0_0_0_1_01.png,val,0,160.0,0.01416015625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s0015_00855_0_0_1_0_1_01.png,test,1,173.0,0.01806640625,0,1.0,0.017578125,72.0,0.017578125,72.0,0.017578125,0.1467013888888889,0.9644097222222222,0.9825104919627842,0.8372093023255814,0.6545454545454545,0.22727272727272727,0.34375,0.0
